date,V41690973,V41690914,STATIC_TOTALCPICHANGE,CPI_TRIM,CPI_MEDIAN,CPI_COMMON,ATOM_V41693242,STATIC_CPIXFET,CPIW
01-01-1995,86.6,86.6,0.6,1.8,1.8,1.2,,2.2,1.7
01-02-1995,87,87,1.9,1.9,1.8,1.2,,1.8,1.7
01-03-1995,87.2,87.2,2.1,2,1.8,1.5,,2.1,1.9
01-04-1995,87.5,87.4,2.5,2.1,2,1.5,,2.1,2
01-05-1995,87.7,87.7,2.9,2.3,2.1,1.9,,2.6,2.2
01-06-1995,87.7,87.7,2.7,2.2,2.1,1.9,,2.5,2.1
01-07-1995,87.9,87.8,2.6,2.2,2,2,,2.6,2.1
01-08-1995,87.7,87.7,2.2,2.1,2,2,,2.7,2.1
01-09-1995,87.8,87.8,2.2,2.1,2,1.9,,2.6,2
01-10-1995,87.7,87.8,2.3,2.1,1.9,2,,2.6,2
01-11-1995,88,87.9,2.1,1.9,1.7,1.8,,2.3,1.9
01-12-1995,87.8,87.9,1.7,1.7,1.6,1.5,,1.8,1.5
01-01-1996,88,88,1.6,1.5,1.5,1.3,,1.6,1.4
01-02-1996,88.1,88.1,1.3,1.4,1.4,1.2,,1.5,1.3
01-03-1996,88.5,88.5,1.5,1.3,1.3,1.2,,1.5,1.3
01-04-1996,88.7,88.7,1.4,1.2,1.2,1.3,,1.6,1.3
01-05-1996,89,88.9,1.5,1.2,1.2,1.3,,1.6,1.4
01-06-1996,89,88.9,1.5,1.2,1.2,1.3,,1.4,1.4
01-07-1996,89,88.9,1.3,1.2,1.2,1.2,,1.5,1.3
01-08-1996,89,89,1.5,1.1,1.2,1.2,,1.3,1.3
01-09-1996,89.1,89.1,1.5,1.2,1.2,1.3,,1.2,1.4
01-10-1996,89.3,89.4,1.8,1.2,1.3,1.4,,1.3,1.6
01-11-1996,89.7,89.7,1.9,1.3,1.4,1.5,,1.5,1.7
01-12-1996,89.7,89.9,2.2,1.4,1.5,1.6,,1.7,1.9
01-01-1997,89.9,90,2.2,1.4,1.4,1.6,,1.6,1.8
01-02-1997,90.1,90.1,2.3,1.3,1.3,1.6,,1.5,1.7
01-03-1997,90.2,90.2,1.9,1.4,1.3,1.6,,1.7,1.8
01-04-1997,90.2,90.2,1.7,1.3,1.3,1.6,,1.7,1.8
01-05-1997,90.3,90.2,1.5,1.2,1.2,1.5,,1.5,1.7
01-06-1997,90.5,90.3,1.7,1.3,1.2,1.6,,2.1,1.8
01-07-1997,90.5,90.4,1.7,1.1,1.1,1.5,,1.5,1.6
01-08-1997,90.6,90.6,1.8,1.2,1.1,1.5,,1.5,1.7
01-09-1997,90.6,90.6,1.7,1,1,1.4,,1.5,1.5
01-10-1997,90.6,90.6,1.5,1,1,1.4,,1.6,1.5
01-11-1997,90.5,90.5,0.9,0.9,0.9,1.2,,1,1.1
01-12-1997,90.4,90.6,0.8,0.8,0.9,1.2,,0.8,1.1
01-01-1998,90.9,91.1,1.1,1.1,1.1,1.4,,1.1,1.3
01-02-1998,91,91.1,1,1.1,1.2,1.6,,1.4,1.3
01-03-1998,91.1,91.1,1,1,1.1,1.4,,1.2,1.2
01-04-1998,91,91,0.9,0.9,1.1,1.5,,1,1.1
01-05-1998,91.3,91.1,1.1,0.9,1.2,1.6,,1.2,1.2
01-06-1998,91.4,91.2,1,0.9,1.1,1.6,,0.8,1.1
01-07-1998,91.4,91.2,1,1.1,1.2,1.7,,1.1,1.2
01-08-1998,91.4,91.3,0.9,1.1,1.2,1.7,,1.2,1.2
01-09-1998,91.2,91.1,0.7,1.1,1.3,1.8,,1.1,1.1
01-10-1998,91.6,91.6,1.1,1.1,1.2,1.8,,1.2,1.2
01-11-1998,91.6,91.6,1.2,1.3,1.4,2,,1.3,1.4
01-12-1998,91.3,91.6,1,1.1,1.2,1.9,,1.3,1.2
01-01-1999,91.5,91.8,0.7,1,1.1,2,,1,1.2
01-02-1999,91.6,91.8,0.7,1,1.1,1.8,,0.9,1.2
01-03-1999,92,92,1,1.1,1.1,1.8,,1.1,1.3
01-04-1999,92.5,92.5,1.6,1.3,1.2,2,,1.5,1.6
01-05-1999,92.7,92.6,1.5,1.3,1.2,2,,1.5,1.6
01-06-1999,92.9,92.6,1.6,1.3,1.2,2,,1.7,1.5
01-07-1999,93.1,92.8,1.9,1.3,1.2,1.9,,1.6,1.6
01-08-1999,93.3,93.2,2.1,1.3,1.2,1.9,,1.6,1.7
01-09-1999,93.6,93.5,2.6,1.5,1.3,1.9,,2,2
01-10-1999,93.7,93.6,2.3,1.5,1.3,1.9,,1.7,1.8
01-11-1999,93.6,93.7,2.2,1.5,1.3,1.8,,1.6,1.6
01-12-1999,93.7,94,2.6,1.6,1.4,1.8,,1.7,1.7
01-01-2000,93.5,94,2.2,1.5,1.3,1.4,1.2,1.5,1.4
01-02-2000,94.1,94.3,2.7,1.6,1.4,1.8,1.3,1.6,1.6
01-03-2000,94.8,94.8,3,1.6,1.4,1.8,1.3,1.6,1.7
01-04-2000,94.5,94.4,2.2,1.5,1.3,1.5,1.2,1.2,1.3
01-05-2000,94.9,94.7,2.4,1.6,1.4,1.7,1.1,1.3,1.4
01-06-2000,95.5,95.3,2.8,1.8,1.6,1.7,1.3,1.4,1.6
01-07-2000,95.8,95.6,2.9,1.8,1.6,1.8,1.2,1.5,1.6
01-08-2000,95.7,95.5,2.6,1.9,1.7,1.9,1.2,1.4,1.5
01-09-2000,96.1,95.9,2.7,1.8,1.6,1.8,1.1,1.2,1.5
01-10-2000,96.3,96.3,2.8,1.9,1.7,1.8,1.3,1.4,1.6
01-11-2000,96.6,96.8,3.2,2,1.8,2,1.5,1.8,1.8
01-12-2000,96.7,97,3.2,2.1,1.9,2.1,1.7,1.9,2
01-01-2001,96.3,96.8,3,2.2,2,2.4,1.8,1.9,1.9
01-02-2001,96.8,96.9,2.9,2.2,2.1,2.3,1.7,2,1.9
01-03-2001,97.1,97.1,2.4,2.1,2.1,2.3,1.9,1.7,1.9
01-04-2001,97.8,97.8,3.5,2.4,2.2,2.4,2.2,1.9,2.3
01-05-2001,98.6,98.4,3.9,2.4,2.3,2.5,2.3,1.9,2.5
01-06-2001,98.7,98.4,3.4,2.4,2.2,2.5,2.2,1.8,2.4
01-07-2001,98.4,98.1,2.7,2.4,2.3,2.5,2.5,2,2.4
01-08-2001,98.4,98.2,2.8,2.4,2.3,2.5,2.4,2,2.3
01-09-2001,98.6,98.4,2.6,2.3,2.3,2.5,2.3,2,2.3
01-10-2001,98.1,98.1,1.9,2.2,2.2,2.5,2.2,1.8,2.1
01-11-2001,97.2,97.4,0.6,1.9,2,2.3,1.8,1.3,1.7
01-12-2001,97.4,97.7,0.7,1.9,2,2.4,1.7,1.2,1.6
01-01-2002,97.6,98.1,1.3,2,2.1,2.3,1.9,1.3,1.9
01-02-2002,98.2,98.4,1.4,2,2,2.3,2.3,1.4,2.1
01-03-2002,98.9,98.8,1.9,2,2,2.3,2.2,1.7,2.1
01-04-2002,99.5,99.5,1.7,2.1,2,2.4,2.3,1.9,2.1
01-05-2002,99.7,99.4,1.1,2,2,2.2,2.1,2,1.9
01-06-2002,99.9,99.6,1.2,2,2.1,2.2,2.1,2.1,1.9
01-07-2002,100.5,100.3,2.1,1.9,2,2.2,2,2.1,2
01-08-2002,100.9,100.7,2.5,2.1,2.2,2.3,2.4,2.3,2.3
01-09-2002,100.9,100.8,2.3,2.1,2.2,2.1,2.5,2.2,2.3
01-10-2002,101.2,101.3,3.2,2.1,2.1,2,2.5,2.5,2.4
01-11-2002,101.5,101.6,4.4,2.3,2.2,2.4,3.2,3.1,2.9
