Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
01-01-2005,100,100,100,100,100,100,301600,373600,337200,426300,267900,174200
01-02-2005,101.3,101.1,101.2,101,101.8,101.7,305500,377600,341300,430600,272600,177200
01-03-2005,102.5,102,102.5,101.8,104,103.3,309200,381100,345500,434000,278500,179900
01-04-2005,104.4,103.8,103.8,103.8,105.3,105.4,314800,387700,350100,442300,282200,183600
01-05-2005,106.2,105.5,105.2,105.8,106.9,107.4,320200,394000,354800,451000,286300,187100
01-06-2005,108,107.2,106.7,107.7,108.2,109.5,325600,400500,359700,459000,289900,190800
01-07-2005,109.7,109,108.5,109.3,109.4,111.7,331000,407100,365800,465900,293000,194500
01-08-2005,111.5,110.8,110.4,111,110.7,113.7,336400,413800,372300,473000,296500,198100
01-09-2005,113.2,112.4,112.2,112.5,112.2,115.7,341500,420000,378300,479700,300600,201600
01-10-2005,114.9,114.1,114,114.1,113.4,117.6,346500,426200,384300,486300,303800,204800
01-11-2005,116.5,115.7,115.8,115.5,114.7,119.6,351400,432300,390400,492500,307300,208400
01-12-2005,118.2,117.6,117.6,117.2,116.1,122.1,356500,439200,396400,499500,310900,212700
01-01-2006,119.7,118.9,119,118.8,118.7,124.1,361000,444300,401300,506300,317900,216100
01-02-2006,121.1,120.4,120.2,120.6,120.9,125.5,365100,449800,405400,514300,323800,218600
01-03-2006,122.2,121.6,121.3,122.2,123.6,126.6,368600,454300,409100,520900,331200,220600
01-04-2006,123,122.4,122.2,122.1,123.8,128.1,371100,457100,412200,520700,331600,223200
01-05-2006,123.4,122.8,123,122.2,124.3,129.4,372300,458700,414800,521000,333000,225500
01-06-2006,124,123.3,123.9,122.3,124.5,130.9,373900,460700,417800,521300,333600,228100
01-07-2006,124.5,124,124.3,123.3,124.9,131.2,375600,463300,419200,525800,334600,228600
01-08-2006,124.9,124.5,124.5,124,125.8,131.4,376700,465100,419900,528500,336900,228900
01-09-2006,125.4,125.3,125,125.1,126.8,131.6,378300,468100,421600,533300,339600,229200
01-10-2006,125.7,125.4,125.2,125.1,127.3,132.1,379000,468500,422300,533200,341100,230100
01-11-2006,126,125.6,125.5,125.2,128.3,133.1,380100,469300,423300,533800,343600,231900
